Vehicles,Column1,Month,Year,Units,Vehicles.1,Vehicles_Cleaned,Classification,Category.1,Date
Daihatsu Cuore,Prod.,Oct,2007,749.0,Daihatsu Cuore,Daihatsu Cuore,800 cc & Below 1000cc,CARS,2007-10-01
Daihatsu Cuore,Prod.,Nov,2007,960.0,Daihatsu Cuore,Daihatsu Cuore,800 cc & Below 1000cc,CARS,2007-11-01
Daihatsu Cuore,Prod.,Dec,2007,443.0,Daihatsu Cuore,Daihatsu Cuore,800 cc & Below 1000cc,CARS,2007-12-01
Daihatsu Cuore,Prod.,Jan,2008,1422.0,Daihatsu Cuore,Daihatsu Cuore,800 cc & Below 1000cc,CARS,2008-01-01
Daihatsu Cuore,Prod.,Feb,2008,1106.0,Daihatsu Cuore,Daihatsu Cuore,800 cc & Below 1000cc,CARS,2008-02-01
Daihatsu Cuore,Prod.,Mar,2008,1077.0,Daihatsu Cuore,Daihatsu Cuore,800 cc & Below 1000cc,CARS,2008-03-01
Daihatsu Cuore,Prod.,Apr,2008,1361.0,Daihatsu Cuore,Daihatsu Cuore,800 cc & Below 1000cc,CARS,2008-04-01
Daihatsu Cuore,Prod.,May,2008,1223.0,Daihatsu Cuore,Daihatsu Cuore,800 cc & Below 1000cc,CARS,2008-05-01
Daihatsu Cuore,Prod.,Jun,2008,889.0,Daihatsu Cuore,Daihatsu Cuore,800 cc & Below 1000cc,CARS,2008-06-01
Daihatsu Cuore,Sale,Jul,2007,1054.0,Daihatsu Cuore,Daihatsu Cuore,800 cc & Below 1000cc,CARS,2007-07-01
Daihatsu Cuore,Sale,Aug,2007,1277.0,Daihatsu Cuore,Daihatsu Cuore,800 cc & Below 1000cc,CARS,2007-08-01
Daihatsu Cuore,Sale,Sep,2007,841.0,Daihatsu Cuore,Daihatsu Cuore,800 cc & Below 1000cc,CARS,2007-09-01
Daihatsu Cuore,Sale,Oct,2007,715.0,Daihatsu Cuore,Daihatsu Cuore,800 cc & Below 1000cc,CARS,2007-10-01
Daihatsu Cuore,Sale,Nov,2007,971.0,Daihatsu Cuore,Daihatsu Cuore,800 cc & Below 1000cc,CARS,2007-11-01
Daihatsu Cuore,Sale,Dec,2007,380.0,Daihatsu Cuore,Daihatsu Cuore,800 cc & Below 1000cc,CARS,2007-12-01
Daihatsu Cuore,Sale,Jan,2008,1314.0,Daihatsu Cuore,Daihatsu Cuore,800 cc & Below 1000cc,CARS,2008-01-01
Daihatsu Cuore,Sale,Feb,2008,982.0,Daihatsu Cuore,Daihatsu Cuore,800 cc & Below 1000cc,CARS,2008-02-01
Daihatsu Cuore,Sale,Mar,2008,1137.0,Daihatsu Cuore,Daihatsu Cuore,800 cc & Below 1000cc,CARS,2008-03-01
Daihatsu Cuore,Sale,Apr,2008,1337.0,Daihatsu Cuore,Daihatsu Cuore,800 cc & Below 1000cc,CARS,2008-04-01
Daihatsu Cuore,Sale,May,2008,1217.0,Daihatsu Cuore,Daihatsu Cuore,800 cc & Below 1000cc,CARS,2008-05-01
Daihatsu Cuore,Sale,Jun,2008,979.0,Daihatsu Cuore,Daihatsu Cuore,800 cc & Below 1000cc,CARS,2008-06-01
